cycle,n_noshows_valid,share_alienated_pct,share_complacent_pct,share_mixed_pct,noshow_eff_low_pct,noshow_eff_mid_pct,noshow_eff_high_pct,full_eff_low_pct,full_eff_mid_pct,full_eff_high_pct
1972,104,26.0,19.2,54.8,41.3,0.0,58.7,40.5,0.0,59.5
1976,102,34.1,9.2,56.8,53.1,0.0,46.9,42.2,0.0,57.8
1980,42,40.5,11.9,47.6,57.1,0.0,42.9,39.8,0.0,60.2
1984,62,21.0,22.6,56.5,41.9,0.0,58.1,31.8,0.0,68.2
1988,49,28.6,16.3,55.1,49.0,2.0,49.0,41.6,8.5,49.9
1992,84,31.1,17.7,51.1,42.7,8.2,49.1,36.6,6.1,57.4
2000,39,40.5,21.0,38.6,63.3,2.9,33.8,40.7,9.5,49.8
2012,99,0.9,12.0,87.1,55.7,18.2,26.1,48.5,16.6,34.9
2016,215,35.8,7.6,56.6,53.8,22.8,23.4,50.4,18.0,31.6
2020,242,49.0,9.2,41.9,67.0,12.8,20.2,61.2,12.2,26.6
2024,148,52.8,5.9,41.3,66.9,13.4,19.7,63.1,14.0,22.9
