metric,value_pct,share_of_electorate_pct,n_unweighted
Dem leaners/strong → Clinton,87.3,34.3,1282
Rep leaners/strong → Trump,86.0,29.7,1144
Dem leaner voted Trump (defector),2.68,2.68,92
Rep leaner voted Clinton (defector),2.31,2.31,86
All defectors (1 in 25),4.99,4.99,178
Pure independents (V161158x=4),13.7,13.7,579
Pure independents voting Trump (of those who voted),44.5,,224
Self-ID moderate AND Dem-lean/strong,46.4,,700
Self-ID moderate AND Rep-lean/strong,37.5,,606
Self-ID moderate AND pure indep,16.1,,242
Dem→Trump defectors: mean lib-con (1-7),3.65,,55
Rep→Clinton defectors: mean lib-con (1-7),4.7,,72
