cycle,wh_incumbent,state,fips,n_unweighted,trust_mean,diff_from_national,swing_category
2000,D,[national],,1553,0.423,0.0,national
2000,D,WI,55.0,64,0.477,0.055,swing
2000,D,MI,26.0,60,0.431,0.008,swing
2000,D,PA,42.0,46,0.448,0.025,swing
2000,D,FL,12.0,78,0.381,-0.042,swing
2000,D,OH,39.0,63,0.377,-0.046,swing
2000,D,AZ,4.0,12,,,swing
2000,D,GA,13.0,29,0.431,0.009,swing
2000,D,NC,37.0,17,,,swing
2000,D,NV,32.0,4,,,swing
2000,D,NY (ref-blue),36.0,95,0.423,-0.0,ref
2000,D,CA (ref-blue),6.0,159,0.403,-0.019,ref
2000,D,TX (ref-red),48.0,110,0.435,0.013,ref
2000,D,AL (ref-red),1.0,53,0.383,-0.039,ref
2004,R,[national],,1066,0.459,0.0,national
2004,R,WI,55.0,50,0.445,-0.014,swing
2004,R,MI,26.0,55,0.46,0.001,swing
2004,R,PA,42.0,14,,,swing
2004,R,FL,12.0,45,0.476,0.017,swing
2004,R,OH,39.0,30,0.514,0.056,swing
2004,R,AZ,4.0,0,,,swing
2004,R,GA,13.0,9,,,swing
2004,R,NC,37.0,0,,,swing
2004,R,NV,32.0,0,,,swing
2004,R,NY (ref-blue),36.0,74,0.432,-0.027,ref
2004,R,CA (ref-blue),6.0,119,0.452,-0.007,ref
2004,R,TX (ref-red),48.0,76,0.495,0.037,ref
2004,R,AL (ref-red),1.0,56,0.49,0.031,ref
2008,R,[national],,2084,0.367,0.0,national
2008,R,WI,55.0,19,,,swing
2008,R,MI,26.0,99,0.383,0.017,swing
2008,R,PA,42.0,31,0.288,-0.079,swing
2008,R,FL,12.0,157,0.341,-0.026,swing
2008,R,OH,39.0,78,0.328,-0.038,swing
2008,R,AZ,4.0,39,0.391,0.025,swing
2008,R,GA,13.0,69,0.367,0.001,swing
2008,R,NC,37.0,58,0.426,0.059,swing
2008,R,NV,32.0,27,0.39,0.024,swing
2008,R,NY (ref-blue),36.0,111,0.349,-0.018,ref
2008,R,CA (ref-blue),6.0,255,0.349,-0.018,ref
2008,R,TX (ref-red),48.0,322,0.38,0.014,ref
2008,R,AL (ref-red),1.0,20,0.46,0.094,ref
2012,D,[national],,5853,0.297,0.0,national
2012,D,WI,55.0,123,0.252,-0.045,swing
2012,D,MI,26.0,170,0.271,-0.026,swing
2012,D,PA,42.0,266,0.265,-0.032,swing
2012,D,FL,12.0,416,0.287,-0.01,swing
2012,D,OH,39.0,225,0.332,0.036,swing
2012,D,AZ,4.0,120,0.258,-0.039,swing
2012,D,GA,13.0,163,0.355,0.058,swing
2012,D,NC,37.0,222,0.257,-0.04,swing
2012,D,NV,32.0,60,0.266,-0.031,swing
2012,D,NY (ref-blue),36.0,297,0.339,0.042,ref
2012,D,CA (ref-blue),6.0,741,0.297,0.0,ref
2012,D,TX (ref-red),48.0,533,0.323,0.026,ref
2012,D,AL (ref-red),1.0,81,0.259,-0.038,ref
2016,D,[national],,4250,0.241,0.0,national
2016,D,WI,55.0,97,0.239,-0.003,swing
2016,D,MI,26.0,138,0.248,0.006,swing
2016,D,PA,42.0,173,0.225,-0.016,swing
2016,D,FL,12.0,217,0.219,-0.022,swing
2016,D,OH,39.0,162,0.213,-0.028,swing
2016,D,AZ,4.0,96,0.265,0.023,swing
2016,D,GA,13.0,118,0.262,0.021,swing
2016,D,NC,37.0,169,0.261,0.02,swing
2016,D,NV,32.0,32,0.333,0.092,swing
2016,D,NY (ref-blue),36.0,175,0.278,0.037,ref
2016,D,CA (ref-blue),6.0,414,0.287,0.045,ref
2016,D,TX (ref-red),48.0,328,0.254,0.013,ref
2016,D,AL (ref-red),1.0,44,0.248,0.007,ref
2020,R,[national],,8263,0.197,0.0,national
2020,R,WI,55.0,203,0.193,-0.004,swing
2020,R,MI,26.0,288,0.18,-0.017,swing
2020,R,PA,42.0,359,0.169,-0.028,swing
2020,R,FL,12.0,497,0.207,0.011,swing
2020,R,OH,39.0,326,0.201,0.004,swing
2020,R,AZ,4.0,176,0.189,-0.008,swing
2020,R,GA,13.0,242,0.209,0.012,swing
2020,R,NC,37.0,287,0.179,-0.017,swing
2020,R,NV,32.0,61,0.22,0.024,swing
2020,R,NY (ref-blue),36.0,409,0.229,0.032,ref
2020,R,CA (ref-blue),6.0,773,0.203,0.006,ref
2020,R,TX (ref-red),48.0,599,0.208,0.011,ref
2020,R,AL (ref-red),1.0,119,0.302,0.105,ref
2024,D,[national],,5458,0.197,0.0,national
2024,D,WI,55.0,81,0.313,0.116,swing
2024,D,MI,26.0,114,0.268,0.071,swing
2024,D,PA,42.0,106,0.172,-0.025,swing
2024,D,FL,12.0,172,0.192,-0.005,swing
2024,D,OH,39.0,95,0.134,-0.063,swing
2024,D,AZ,4.0,59,0.184,-0.013,swing
2024,D,GA,13.0,102,0.126,-0.071,swing
2024,D,NC,37.0,74,0.167,-0.03,swing
2024,D,NV,32.0,15,,,swing
2024,D,NY (ref-blue),36.0,122,0.208,0.011,ref
2024,D,CA (ref-blue),6.0,268,0.231,0.034,ref
2024,D,TX (ref-red),48.0,253,0.207,0.009,ref
2024,D,AL (ref-red),1.0,68,0.127,-0.07,ref
