year,cohort,trust_pct,n
1968,Boomer,73.2,56
1970,Boomer,59.2,147
1972,Boomer,56.9,452
1974,Boomer,44.2,303
1976,Boomer,38.4,624
1978,Boomer,32.6,794
1980,Boomer,27.1,601
1982,Boomer,34.2,565
1984,Boomer,47.5,844
1986,Boomer,38.6,482
1988,Boomer,39.6,788
1990,Boomer,27.1,837
1992,Boomer,29.0,993
1994,Boomer,19.8,754
1996,Boomer,32.0,650
1998,Boomer,38.3,531
2000,Boomer,38.9,615
2002,Boomer,54.9,561
2004,Boomer,49.3,388
2008,Boomer,31.1,371
2012,Boomer,20.3,1179
2016,Boomer,11.0,1468
2020,Boomer,16.5,2774
2024,Boomer,20.6,1781
1984,Gen X,41.1,56
1986,Gen X,31.3,67
1988,Gen X,42.3,130
1990,Gen X,36.4,258
1992,Gen X,30.0,322
1994,Gen X,24.2,316
1996,Gen X,31.3,268
1998,Gen X,49.4,324
2000,Gen X,43.2,374
2002,Gen X,52.4,295
2004,Gen X,41.8,288
2008,Gen X,29.0,286
2012,Gen X,22.2,744
2016,Gen X,10.1,1042
2020,Gen X,14.3,1967
2024,Gen X,14.6,1285
2016,Gen Z,27.6,66
2020,Gen Z,15.9,315
2024,Gen Z,11.9,403
1958,Greatest,77.5,853
1964,Greatest,76.2,760
1966,Greatest,64.3,616
1968,Greatest,56.9,634
1970,Greatest,51.9,668
1972,Greatest,51.5,882
1974,Greatest,32.8,644
1976,Greatest,32.7,812
1978,Greatest,27.4,671
1980,Greatest,26.5,513
1982,Greatest,34.1,428
1984,Greatest,43.5,478
1986,Greatest,41.9,241
1988,Greatest,41.0,398
1990,Greatest,27.2,408
1992,Greatest,29.2,418
1994,Greatest,27.7,305
1996,Greatest,37.3,250
1998,Greatest,36.7,141
2000,Greatest,56.6,166
2002,Greatest,61.7,125
2004,Greatest,50.8,63
2008,Greatest,39.7,36
2012,Greatest,11.4,30
2016,Greatest,22.4,33
2004,Millennial,43.3,90
2008,Millennial,32.2,154
2012,Millennial,27.6,562
2016,Millennial,12.2,1048
2020,Millennial,11.8,2063
2024,Millennial,8.9,1373
1958,National,75.7,1364
1964,National,77.8,1421
1966,National,68.0,1224
1968,National,62.7,1307
1970,National,54.8,1463
1972,National,54.2,2221
1974,National,37.2,1510
1976,National,34.4,2155
1978,National,30.1,2206
1980,National,25.7,1574
1982,National,33.6,1359
1984,National,44.8,1871
1986,National,39.2,1061
1988,National,41.2,1746
1990,National,28.4,1934
1992,National,29.3,2223
1994,National,22.0,1756
1996,National,33.1,1522
1998,National,40.4,1258
2000,National,44.2,1538
2002,National,55.4,1336
2004,National,46.5,1062
2008,National,30.8,1018
2012,National,22.3,2976
2016,National,11.6,4136
2020,National,15.1,7910
2024,National,14.8,5222
1958,Silent,79.0,217
1964,Silent,82.1,463
1966,Silent,74.5,439
1968,Silent,72.1,477
1970,Silent,59.3,514
1972,Silent,57.2,729
1974,Silent,36.8,453
1976,Silent,32.6,618
1978,Silent,29.9,675
1980,Silent,22.4,429
1982,Silent,31.7,344
1984,Silent,41.5,479
1986,Silent,40.2,266
1988,Silent,43.6,422
1990,Silent,27.1,428
1992,Silent,29.4,490
1994,Silent,20.0,381
1996,Silent,34.5,354
1998,Silent,34.2,262
2000,Silent,50.5,358
2002,Silent,59.3,340
2004,Silent,48.3,233
2008,Silent,29.6,171
2012,Silent,19.4,461
2016,Silent,11.0,479
2020,Silent,22.3,791
2024,Silent,25.3,380
