cycle,wh_incumbent,tent,tent_short,trust_band,vote_own_pct,vote_other_pct,narrow_swing_pct,broad_swing_pct,n_unweighted
1972,R,Dems+indeps (VCF0301 1-4),D,low-trust,53.0,47.0,47.0,47.0,100
1972,R,Dems+indeps (VCF0301 1-4),D,mid-trust,64.4,35.6,35.6,35.6,491
1972,R,Dems+indeps (VCF0301 1-4),D,high-trust,40.3,59.7,59.7,59.7,350
1972,R,Reps (VCF0301 5-7),R,low-trust,90.2,9.8,9.8,9.8,205
1972,R,Reps (VCF0301 5-7),R,mid-trust,91.7,8.3,8.3,8.3,217
1972,R,Reps (VCF0301 5-7),R,high-trust,93.2,6.8,6.8,6.8,220
1976,R,Dems+indeps (VCF0301 1-4),D,low-trust,74.5,25.5,25.5,25.5,57
1976,R,Dems+indeps (VCF0301 1-4),D,mid-trust,77.0,23.0,23.0,23.0,382
1976,R,Dems+indeps (VCF0301 1-4),D,high-trust,70.9,29.1,29.1,29.1,362
1976,R,Reps (VCF0301 5-7),R,low-trust,83.4,16.6,16.6,16.6,151
1976,R,Reps (VCF0301 5-7),R,mid-trust,81.9,18.1,18.1,18.1,185
1976,R,Reps (VCF0301 5-7),R,high-trust,93.1,6.9,6.9,6.9,175
1980,D,Dems+indeps (VCF0301 1-4),D,low-trust,69.2,30.8,30.8,30.8,39
1980,D,Dems+indeps (VCF0301 1-4),D,mid-trust,63.3,36.7,36.7,36.7,226
1980,D,Dems+indeps (VCF0301 1-4),D,high-trust,69.8,30.2,30.2,30.2,265
1980,D,Reps (VCF0301 5-7),R,low-trust,93.8,6.2,6.2,6.2,113
1980,D,Reps (VCF0301 5-7),R,mid-trust,97.1,2.9,2.9,2.9,34
1980,D,Reps (VCF0301 5-7),R,high-trust,91.4,8.6,8.6,8.6,197
1984,R,Dems+indeps (VCF0301 1-4),D,low-trust,76.7,23.3,23.3,23.3,232
1984,R,Dems+indeps (VCF0301 1-4),D,mid-trust,75.4,24.6,24.6,24.6,260
1984,R,Dems+indeps (VCF0301 1-4),D,high-trust,62.4,37.6,37.6,37.6,266
1984,R,Reps (VCF0301 5-7),R,low-trust,92.6,7.4,7.4,7.4,188
1984,R,Reps (VCF0301 5-7),R,mid-trust,93.2,6.8,6.8,6.8,205
1984,R,Reps (VCF0301 5-7),R,high-trust,98.6,1.4,1.4,1.4,218
1988,R,Dems+indeps (VCF0301 1-4),D,low-trust,75.0,25.0,25.0,25.0,60
1988,R,Dems+indeps (VCF0301 1-4),D,mid-trust,83.7,16.3,16.3,16.3,349
1988,R,Dems+indeps (VCF0301 1-4),D,high-trust,72.5,27.5,27.5,27.5,229
1988,R,Reps (VCF0301 5-7),R,low-trust,86.2,13.8,13.8,13.8,159
1988,R,Reps (VCF0301 5-7),R,mid-trust,87.6,12.4,12.4,12.4,169
1988,R,Reps (VCF0301 5-7),R,high-trust,94.1,5.9,5.9,5.9,219
1992,R,Dems+indeps (VCF0301 1-4),D,low-trust,90.2,9.8,9.8,9.8,50
1992,R,Dems+indeps (VCF0301 1-4),D,mid-trust,90.0,10.0,10.0,10.0,376
1992,R,Dems+indeps (VCF0301 1-4),D,high-trust,86.7,13.3,13.3,13.3,398
1992,R,Reps (VCF0301 5-7),R,low-trust,83.6,16.4,16.4,16.4,49
1992,R,Reps (VCF0301 5-7),R,mid-trust,89.5,10.5,10.5,10.5,301
1992,R,Reps (VCF0301 5-7),R,high-trust,87.3,12.7,12.7,12.7,175
1996,D,Dems+indeps (VCF0301 1-4),D,low-trust,94.9,5.1,5.1,5.1,56
1996,D,Dems+indeps (VCF0301 1-4),D,mid-trust,89.7,10.3,10.3,10.3,276
1996,D,Dems+indeps (VCF0301 1-4),D,high-trust,91.9,8.1,8.1,8.1,249
1996,D,Reps (VCF0301 5-7),R,low-trust,77.2,22.8,22.8,22.8,32
1996,D,Reps (VCF0301 5-7),R,mid-trust,89.6,10.4,10.4,10.4,256
1996,D,Reps (VCF0301 5-7),R,high-trust,76.8,23.2,23.2,23.2,158
2000,D,Dems+indeps (VCF0301 1-4),D,low-trust,82.8,17.2,17.2,17.2,66
2000,D,Dems+indeps (VCF0301 1-4),D,mid-trust,84.6,15.4,15.4,15.4,347
2000,D,Dems+indeps (VCF0301 1-4),D,high-trust,81.1,18.9,18.9,18.9,219
2000,D,Reps (VCF0301 5-7),R,low-trust,83.2,16.8,16.8,16.8,44
2000,D,Reps (VCF0301 5-7),R,mid-trust,92.0,8.0,8.0,8.0,258
2000,D,Reps (VCF0301 5-7),R,high-trust,89.4,10.6,10.6,10.6,177
2004,R,Dems+indeps (VCF0301 1-4),D,low-trust,83.2,16.8,16.8,16.8,51
2004,R,Dems+indeps (VCF0301 1-4),D,mid-trust,93.5,6.5,6.5,6.5,226
2004,R,Dems+indeps (VCF0301 1-4),D,high-trust,79.0,21.0,21.0,21.0,155
2004,R,Reps (VCF0301 5-7),R,low-trust,87.7,12.3,12.3,12.3,102
2004,R,Reps (VCF0301 5-7),R,mid-trust,90.9,9.1,9.1,9.1,131
2004,R,Reps (VCF0301 5-7),R,high-trust,96.0,4.0,4.0,4.0,138
2008,R,Dems+indeps (VCF0301 1-4),D,low-trust,87.7,12.3,12.3,12.3,329
2008,R,Dems+indeps (VCF0301 1-4),D,mid-trust,88.6,11.4,11.4,11.4,368
2008,R,Dems+indeps (VCF0301 1-4),D,high-trust,85.3,14.7,14.7,14.7,351
2008,R,Reps (VCF0301 5-7),R,low-trust,91.3,8.7,8.7,8.7,151
2008,R,Reps (VCF0301 5-7),R,mid-trust,89.9,10.1,10.1,10.1,154
2008,R,Reps (VCF0301 5-7),R,high-trust,87.8,12.2,12.2,12.2,166
2012,D,Dems+indeps (VCF0301 1-4),D,mid-trust,85.2,14.8,14.8,14.8,1703
2012,D,Dems+indeps (VCF0301 1-4),D,high-trust,91.4,8.6,8.6,8.6,929
2012,D,Reps (VCF0301 5-7),R,mid-trust,95.1,4.9,4.9,4.9,675
2012,D,Reps (VCF0301 5-7),R,high-trust,90.8,9.2,9.2,9.2,841
2016,D,Dems+indeps (VCF0301 1-4),D,mid-trust,83.8,16.2,16.2,16.2,957
2016,D,Dems+indeps (VCF0301 1-4),D,high-trust,90.4,9.6,9.6,9.6,514
2016,D,Reps (VCF0301 5-7),R,mid-trust,93.2,6.8,6.8,6.8,630
2016,D,Reps (VCF0301 5-7),R,high-trust,89.4,10.6,10.6,10.6,501
2020,R,Dems+indeps (VCF0301 1-4),D,mid-trust,90.7,9.3,9.3,9.3,2029
2020,R,Dems+indeps (VCF0301 1-4),D,high-trust,93.3,6.7,6.7,6.7,1483
2020,R,Reps (VCF0301 5-7),R,mid-trust,90.5,9.5,9.5,9.5,1601
2020,R,Reps (VCF0301 5-7),R,high-trust,87.6,12.4,12.4,12.4,993
2024,D,Dems+indeps (VCF0301 1-4),D,mid-trust,93.8,6.2,6.2,6.2,1278
2024,D,Dems+indeps (VCF0301 1-4),D,high-trust,96.1,3.9,3.9,3.9,876
2024,D,Reps (VCF0301 5-7),R,high-trust,92.8,7.2,7.2,7.2,1781
0,—,[summary] est-tent low>high cycles,—,—,,,6.0,10.0,0
